id,education,marital_status,income,kidhome,teenhome,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp4,accepted_cmp5,accepted_cmp1,accepted_cmp2,complain,age,n_family_members,n_sons,days_since_signup,income_per_member,total_spent,total_accepted,response
5524,0.5,0.22,0.35108640853442213,0,0,0.5858585858585859,0.4253181513730743,0.44221105527638194,0.5548780487804879,0.6640926640926641,0.33587786259541985,0.27414330218068533,0.2,0.2962962962962963,0.9090909090909092,0.3076923076923077,0.35000000000000003,0,0,0,0,0,0,0.6964285714285714,1,0,0.9484978540772532,0.37361302526022894,0.6396825396825397,0,1
2174,0.5,0.22,0.27767992182588835,1,1,0.38383838383838387,0.007367716008037508,0.005025125628140704,0.006097560975609756,0.007722007722007722,0.003816793893129771,0.018691588785046728,0.13333333333333333,0.037037037037037035,0.09090909090909091,0.15384615384615385,0.25,0,0,0,0,0,0,0.75,3,2,0.16165951359084407,0.09444425371072451,0.00873015873015873,0,0
4141,0.5,0.25,0.43495552913790636,0,0,0.26262626262626265,0.2853315472203617,0.24623115577889448,0.12906504065040653,0.4285714285714286,0.08015267175572519,0.1308411214953271,0.06666666666666667,0.2962962962962963,0.18181818181818182,0.7692307692307693,0.2,0,0,0,0,0,0,0.5535714285714286,2,0,0.44635193133047213,0.227577480124184,0.305952380952381,0,0
6182,0.5,0.25,0.1550785164346132,1,0,0.26262626262626265,0.007367716008037508,0.020100502512562814,0.020325203252032523,0.03861003861003861,0.011450381679389313,0.01557632398753894,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004,0,0,0,0,0,0,0.21428571428571425,3,1,0.1988555078683834,0.05150627868158313,0.01904761904761905,0,0
5324,0.22,0.39,0.3520511368233676,1,0,0.9494949494949496,0.115874079035499,0.21608040201005024,0.11991869918699188,0.1776061776061776,0.10305343511450381,0.04672897196261682,0.3333333333333333,0.18518518518518517,0.2727272727272727,0.46153846153846156,0.25,0,0,0,0,0,0,0.26785714285714285,3,1,0.23032904148783978,0.12049085050345526,0.16547619047619047,0,0
7446,0.17,0.25,0.37831664249659236,0,1,0.16161616161616163,0.348292029470864,0.21105527638190955,0.09959349593495936,0.0,0.16030534351145037,0.04361370716510903,0.13333333333333333,0.2222222222222222,0.36363636363636365,0.7692307692307693,0.30000000000000004,0,0,0,0,0,0,0.5178571428571428,3,1,0.41917024320457796,0.12968966533861503,0.28214285714285714,0,0
965,0.5,0.11,0.33550760268132224,0,1,0.3434343434343435,0.15740120562625587,0.32663316582914576,0.16666666666666669,0.19305019305019305,0.18702290076335878,0.08411214953271028,0.26666666666666666,0.25925925925925924,0.2727272727272727,0.5384615384615385,0.30000000000000004,0,0,0,0,0,0,0.44642857142857145,2,1,0.8483547925608012,0.1753338793767258,0.23214285714285715,0,0
6177,0.22,0.39,0.19745187250648855,1,0,0.32323232323232326,0.050904219691895514,0.05025125628140704,0.05691056910569106,0.011583011583011584,0.003816793893129771,0.07165109034267912,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4,0,0,0,0,0,0,0.19642857142857145,3,1,0.5965665236051502,0.06634645199858966,0.06507936507936507,0,0
4855,0.22,0.25,0.17813863456714818,1,0,0.19191919191919193,0.009377093101138647,0.0,0.024390243902439025,0.011583011583011584,0.011450381679389313,0.006230529595015576,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45,0,0,0,0,0,0,0.39285714285714285,3,1,0.5550786838340487,0.05958248933662267,0.01626984126984127,0,1
5899,0.22,0.25,0.02438584152315037,1,1,0.686868686868687,0.018754186202277295,0.0,0.006097560975609756,0.003861003861003861,0.003816793893129771,0.040498442367601244,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0,1,0,0,0,0,0,0.8214285714285714,4,2,0.15450643776824036,0.0026566482417893222,0.01746031746031746,1,0
387,0.02,0.39,0.03591278856267933,0,0,0.595959595959596,0.004018754186202277,0.08040201005025126,0.011178861788617888,0.04247104247104247,0.003816793893129771,0.04984423676012461,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.4,0,0,0,0,0,0,0.35714285714285715,2,0,0.8483547925608012,0.017945863230843934,0.022222222222222223,0,0
2125,0.5,0.11,0.3815531503046674,0,0,0.8282828282828284,0.12993971868720697,0.3065326633165829,0.48780487804878053,0.8687258687258688,0.42748091603053434,0.09345794392523364,0.06666666666666667,0.1111111111111111,0.36363636363636365,0.6153846153846154,0.1,0,0,0,0,0,0,0.6607142857142856,1,0,0.32331902718168815,0.40562359299821965,0.4353174603174603,0,0
8180,0.17,0.11,0.3586548575625362,1,1,0.5353535353535354,0.15606162089752176,0.010050251256281407,0.05386178861788619,0.011583011583011584,0.019083969465648856,0.04361370716510903,0.2,0.2222222222222222,0.09090909090909091,0.38461538461538464,0.30000000000000004,0,0,0,0,0,0,0.7857142857142856,3,2,0.32331902718168815,0.12280363309589709,0.12103174603174602,0,0
2569,0.5,0.39,0.09705166586791313,0,0,0.38383838383838387,0.0020093770931011385,0.07035175879396985,0.017276422764227643,0.02316602316602317,0.003816793893129771,0.01557632398753894,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.4,0,0,0,0,0,0,0.16071428571428575,2,0,0.8969957081545065,0.050064331758962716,0.01626984126984127,0,0
2114,0.22,0.22,0.5045840153858602,0,0,0.23232323232323235,0.6738111185532485,0.11055276381909548,0.116869918699187,0.22779922779922782,0.2595419847328244,0.14018691588785046,0.06666666666666667,0.25925925925925924,0.5454545454545454,0.9230769230769231,0.15000000000000002,0,0,1,1,0,0,0.8928571428571428,1,0,0.8326180257510729,0.534888739571634,0.5198412698412699,2,1
9736,0.5,0.39,0.24970902549994708,1,1,0.5151515151515152,0.035498995311453445,0.02512562814070352,0.019308943089430895,0.007722007722007722,0.04961832061068702,0.012461059190031152,0.2,0.1111111111111111,0.0,0.23076923076923078,0.4,0,0,0,0,0,0,0.28571428571428564,4,2,0.7896995708154506,0.06184186648748596,0.036111111111111115,0,0
4939,0.5,0.25,0.2242526467787411,0,0,0.20202020202020204,0.05626255860683188,0.02512562814070352,0.03861788617886179,0.5791505791505792,0.04580152671755725,0.08722741433021806,0.13333333333333333,0.14814814814814814,0.09090909090909091,0.46153846153846156,0.35000000000000003,0,0,0,0,0,0,0.8928571428571428,2,0,0.9542203147353362,0.11688761805736071,0.12380952380952381,0,0
6565,0.17,0.39,0.4684533849514835,0,1,0.9191919191919192,0.6778298727394507,0.4020100502512563,0.5060975609756098,0.0,0.061068702290076333,0.5482866043613707,0.13333333333333333,0.4074074074074074,0.36363636363636365,0.6923076923076923,0.25,0,0,0,1,0,0,0.8392857142857142,3,1,0.6552217453505007,0.1612577308463836,0.7051587301587302,1,0
2278,0.09,0.22,0.1996800836512787,1,0,0.8686868686868687,0.0026791694574681848,0.08542713567839195,0.019308943089430895,0.11583011583011583,0.0916030534351145,0.12149532710280374,0.13333333333333333,0.07407407407407407,0.09090909090909091,0.23076923076923078,0.30000000000000004,0,0,0,0,0,0,0.19642857142857145,2,1,0.8626609442060086,0.10397875989294933,0.050793650793650794,0,0
9360,0.5,0.39,0.21977132827525253,0,0,0.4141414141414142,0.05760214333556597,0.010050251256281407,0.0741869918699187,0.26640926640926643,0.1450381679389313,0.14953271028037382,0.06666666666666667,0.14814814814814814,0.18181818181818182,0.38461538461538464,0.4,0,0,0,0,0,0,0.24999999999999994,2,0,0.9871244635193133,0.11453341900002124,0.12341269841269842,0,0
1993,0.22,0.39,0.35400548961516676,0,1,0.6363636363636365,0.5807099799062291,0.0,0.08739837398373984,0.0,0.0,0.059190031152647975,0.2,0.07407407407407407,0.2727272727272727,0.6923076923076923,0.4,0,1,0,0,0,0,0.8392857142857142,3,1,0.7911301859799714,0.1211753120812373,0.38373015873015875,1,0
4047,0.22,0.39,0.395812456820629,0,1,0.0,0.2572002679169457,0.0,0.10365853658536586,0.08108108108108109,0.12213740458015267,0.01557632398753894,0.2,0.2222222222222222,0.18181818181818182,0.6923076923076923,0.2,0,0,0,0,0,0,0.75,3,1,0.24177396280400573,0.13581712232952356,0.2138888888888889,0,0
1409,0.5,0.25,0.24248289941307175,0,1,0.696969696969697,0.18084393837910248,0.01507537688442211,0.027439024390243906,0.15057915057915058,0.022900763358778626,0.308411214953271,0.4666666666666667,0.25925925925925924,0.09090909090909091,0.38461538461538464,0.4,0,0,0,0,0,0,0.8035714285714284,3,1,0.6695278969957081,0.08211740586882206,0.17420634920634923,0,0
