id,marital_status,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp5,accepted_cmp1,age,n_family_members,days_since_signup,income_per_member,total_spent,total_accepted,response
5524,0.22,0.3510864085344221,0.5858585858585859,0.4253181513730743,0.4422110552763819,0.5548780487804879,0.6640926640926641,0.3358778625954198,0.2741433021806853,0.2,0.2962962962962963,0.9090909090909092,0.3076923076923077,0.35,0,0,0,0.6964285714285714,1,0.9484978540772532,0.3736130252602289,0.6396825396825397,0,1
2174,0.22,0.2776799218258883,0.3838383838383838,0.0073677160080375,0.0050251256281407,0.0060975609756097,0.0077220077220077,0.0038167938931297,0.0186915887850467,0.1333333333333333,0.037037037037037,0.0909090909090909,0.1538461538461538,0.25,0,0,0,0.75,3,0.161659513590844,0.0944442537107245,0.0087301587301587,0,0
4141,0.25,0.4349555291379063,0.2626262626262626,0.2853315472203617,0.2462311557788944,0.1290650406504065,0.4285714285714286,0.0801526717557251,0.1308411214953271,0.0666666666666666,0.2962962962962963,0.1818181818181818,0.7692307692307693,0.2,0,0,0,0.5535714285714286,2,0.4463519313304721,0.227577480124184,0.305952380952381,0,0
6182,0.25,0.1550785164346132,0.2626262626262626,0.0073677160080375,0.0201005025125628,0.0203252032520325,0.0386100386100386,0.0114503816793893,0.0155763239875389,0.1333333333333333,0.074074074074074,0.0,0.3076923076923077,0.3,0,0,0,0.2142857142857142,3,0.1988555078683834,0.0515062786815831,0.019047619047619,0,0
5324,0.39,0.3520511368233676,0.9494949494949496,0.115874079035499,0.2160804020100502,0.1199186991869918,0.1776061776061776,0.1030534351145038,0.0467289719626168,0.3333333333333333,0.1851851851851851,0.2727272727272727,0.4615384615384615,0.25,0,0,0,0.2678571428571428,3,0.2303290414878397,0.1204908505034552,0.1654761904761904,0,0
7446,0.25,0.3783166424965923,0.1616161616161616,0.348292029470864,0.2110552763819095,0.0995934959349593,0.0,0.1603053435114503,0.043613707165109,0.1333333333333333,0.2222222222222222,0.3636363636363636,0.7692307692307693,0.3,0,0,0,0.5178571428571428,3,0.4191702432045779,0.129689665338615,0.2821428571428571,0,0
965,0.11,0.3355076026813222,0.3434343434343435,0.1574012056262558,0.3266331658291457,0.1666666666666666,0.193050193050193,0.1870229007633587,0.0841121495327102,0.2666666666666666,0.2592592592592592,0.2727272727272727,0.5384615384615385,0.3,0,0,0,0.4464285714285714,2,0.8483547925608012,0.1753338793767258,0.2321428571428571,0,0
6177,0.39,0.1974518725064885,0.3232323232323232,0.0509042196918955,0.050251256281407,0.056910569105691,0.0115830115830115,0.0038167938931297,0.0716510903426791,0.1333333333333333,0.1481481481481481,0.0,0.3076923076923077,0.4,0,0,0,0.1964285714285714,3,0.5965665236051502,0.0663464519985896,0.065079365079365,0,0
4855,0.25,0.1781386345671481,0.1919191919191919,0.0093770931011386,0.0,0.024390243902439,0.0115830115830115,0.0114503816793893,0.0062305295950155,0.0666666666666666,0.1111111111111111,0.0,0.1538461538461538,0.45,0,0,0,0.3928571428571428,3,0.5550786838340487,0.0595824893366226,0.0162698412698412,0,1
5899,0.25,0.0243858415231503,0.686868686868687,0.0187541862022772,0.0,0.0060975609756097,0.0038610038610038,0.0038167938931297,0.0404984423676012,0.0666666666666666,0.037037037037037,0.0,0.0,1.0,1,0,0,0.8214285714285714,4,0.1545064377682403,0.0026566482417893,0.0174603174603174,1,0
387,0.39,0.0359127885626793,0.595959595959596,0.0040187541862022,0.0804020100502512,0.0111788617886178,0.0424710424710424,0.0038167938931297,0.0498442367601246,0.0666666666666666,0.074074074074074,0.0,0.2307692307692307,0.4,0,0,0,0.3571428571428571,2,0.8483547925608012,0.0179458632308439,0.0222222222222222,0,0
2125,0.11,0.3815531503046674,0.8282828282828284,0.1299397186872069,0.3065326633165829,0.4878048780487805,0.8687258687258688,0.4274809160305343,0.0934579439252336,0.0666666666666666,0.1111111111111111,0.3636363636363636,0.6153846153846154,0.1,0,0,0,0.6607142857142856,1,0.3233190271816881,0.4056235929982196,0.4353174603174603,0,0
